class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,oso_2024,code,label_fr,label_en,vernacularName_fr,in_ep,ep_names,ep_types,ep_types_abr,ep_uicn_categories,cd_sig
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1650.0,2005-01-20,1.0,2005,2474055.0,AUTRAN Gérard;AUTRAN Sébastien;AUTRAN Lucile,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.12055,6.65589,25.0,2231.0,1995-07-09,7.0,1995,5227679.0,HENRY Pierre-Yves;GAZAVE Elodie,17,17.0,Forêt de conifères,Softwood forest,Lagopède alpin,False,,,,,10kmL93E099N634
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.3389,6.85833,250.0,1950.0,2004-06-30,6.0,2004,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E100N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.78624,6.95234,250.0,2200.0,1980-07-16,7.0,1980,2474055.0,DHERMAIN Frank,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Queyras; Réserve De Biosphère Du Mont Viso,"Parc naturel régional; Réserve de Biosphère, zone tampon",bios; pnr,V,10kmL93E101N641
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.19959,6.97413,25.0,1340.0,2001-11-06,11.0,2001,2473682.0,AUTRAN Gérard,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.00563,7.33519,25.0,1700.0,2001-01-27,1.0,2001,5227679.0,BEAUDOIN Gisèle,16,16.0,Forêt de feuillus,Hardwood forest,Lagopède alpin,True,Mercantour [Aire D'Adhésion],"Parc national, aire d'adhésion",pn,V,10kmL93E104N633
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.24453,6.97728,25.0,2511.0,2004-10-12,10.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lagopus,Lagopus muta,"Lagopus muta (Montin, 1781)",44.24453,6.97728,25.0,2645.0,2005-09-28,9.0,2005,5227679.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Lagopède alpin,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.19959,6.97413,25.0,1750.0,2002-05-26,5.0,2002,2473682.0,AUTRAN Gérard,17,17.0,Forêt de conifères,Softwood forest,Tétras lyre,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1930.0,2005-10-01,10.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.33668,6.92097,250.0,2450.0,2004-05-19,5.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,2590.0,2005-01-15,1.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.20183,6.91165,25.0,1630.0,2004-02-28,2.0,2004,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E101N635
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29173,6.91786,250.0,1660.0,2005-01-04,1.0,2005,2474055.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,2310.0,2004-11-28,11.0,2004,2474055.0,AUTRAN Gérard;AUTRAN Lucile,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.33668,6.92097,250.0,2010.0,2005-10-18,10.0,2005,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E101N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.29395,6.85527,25.0,1800.0,2003-02-21,2.0,2003,2474055.0,AUTRAN Gérard;AUTRAN Sébastien,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,False,,,,,10kmL93E100N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.34533,6.6704,250.0,2044.0,2010-08-10,8.0,2010,2474055.0,TATIN David,19,19.0,Landes ligneuses / broussailles,Woody moorlands,Perdrix bartavelle,False,,,,,10kmL93E099N636
Aves,Galliformes,Phasianidae,Alectoris,Alectoris graeca,"Alectoris graeca (Meisner, 1804)",44.25542,6.66458,250.0,2050.0,1995-07-01,7.0,1995,2474055.0,HENRY Pierre-Yves;GAZAVE Elodie,18,18.0,Prairies naturelles,Natural grasslands and pastures,Perdrix bartavelle,True,Mercantour,"Parc national, zone cœur",pn,II,10kmL93E099N635
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.29395,6.85527,25.0,2190.0,2004-09-28,9.0,2004,2473682.0,AUTRAN Gérard,18,18.0,Prairies naturelles,Natural grasslands and pastures,Tétras lyre,False,,,,,10kmL93E100N636
