class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,elevation,eventDate,month,year,speciesKey,recordedBy,geometry,oso_2024,code,label_fr,label_en
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.31038,6.35442,250.0,1434.0,2019-06-04,6.0,2019,2473682.0,LHUILLIER Robin,POINT (6.35442 44.31038),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67204,6.31283,25.0,1992.0,2019-04-18,4.0,2019,2473682.0,CLAMENS Alex,POINT (6.31283 44.67204),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.43937,6.55073,25.0,2168.0,2019-06-08,6.0,2019,2473682.0,BELLEAU Eric,POINT (6.55073 44.43937),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.63774,5.93225,25.0,1539.0,2019-06-01,6.0,2019,2473682.0,FRANC Emmanuel,POINT (5.93225 44.63774),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.65579,6.81691,25.0,2219.0,2019-10-13,10.0,2019,2473682.0,PEYRON Steeve,POINT (6.81691 44.65579),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.59441,5.86696,25.0,1430.0,2019-06-02,6.0,2019,2473682.0,DAVID Loïc,POINT (5.86696 44.59441),13,13,Prairies,Grasslands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.34741,6.60775,250.0,1952.0,2019-06-01,6.0,2019,2473682.0,MAISON Rémi,POINT (6.60775 44.34741),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.88905,6.57919,25.0,2269.0,2019-04-27,4.0,2019,2473682.0,FINE Vanessa,POINT (6.57919 44.88905),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.72771,5.93694,25.0,1818.0,2019-04-01,4.0,2019,2473682.0,CORAIL Marc,POINT (5.93694 44.72771),17,17,Forêt de conifères,Softwood forest
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67391,6.2498,25.0,1901.0,2019-11-10,11.0,2019,2473682.0,CORAIL Marc,POINT (6.2498 44.67391),13,13,Prairies,Grasslands
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.67014,6.37585,25.0,1992.0,2019-07-28,7.0,2019,2473682.0,ARIEY-JOUGLARD Olivier,POINT (6.37585 44.67014),18,18,Prairies naturelles,Natural grasslands and pastures
Aves,Galliformes,Phasianidae,Lyrurus,Lyrurus tetrix,"Lyrurus tetrix (Linnaeus, 1758)",44.72429,6.06313,25.0,1694.0,2019-05-10,5.0,2019,2473682.0,JOUBERT Thierry,POINT (6.06313 44.72429),16,16,Forêt de feuillus,Hardwood forest
